creation_id,title,filename,created_at,preset,model,prompts,initial_resolution,runtime,seed,prompt_weight,refiner_weight,start_image_weight,noise_weight,sampling_method,clip_guidance,addon_models,control_net,start_image
oC91IqvDelOdFHkzBiuJ,Hail to the king,oC91IqvDelOdFHkzBiuJ--1--ihgpl.jpg,2023-01-25T02:05:10.853Z,none,dalle2,"weight: 1 ""Hail to the king a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,591553802,None,Off,50%,50%,None,None,None,None,No
qwXzlwqrIpqcvUZscMaD,Encounter with the mountain king,qwXzlwqrIpqcvUZscMaD--1--v6j32.jpg,2023-01-25T02:12:35.622Z,none,dalle2,"weight: 1 ""The mountain king a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1010769437,None,Off,50%,50%,None,None,None,None,No
U9fl2TxHvKfwE5AiD730,I love you,U9fl2TxHvKfwE5AiD730--1--ejvoh.jpg,2023-01-25T17:06:07.002Z,none,dalle2,"weight: 1 ""I love you""",Medium,Short,1938579381,None,Off,50%,50%,None,None,None,None,No
3WUlvgqlkhxAEWMTdiux,Abandoned city reclaimed by nature,3WUlvgqlkhxAEWMTdiux--1--39m07.jpg,2023-01-25T17:09:23.039Z,none,dalle2,"weight: 1 ""Abandoned city reclaimed by nature a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,487142886,None,Off,50%,50%,None,None,None,None,No
YLW7m4upv4ACMZOnOl1W,The city of Atlantis at its prime,YLW7m4upv4ACMZOnOl1W--1--biuyl.jpg,2023-01-25T17:20:07.349Z,none,dalle2,"weight: 1 ""The city of Atlantis at its prime Epic cinematic brilliant stunning intricate meticulously detailed dramatic atmospheric maximalist digital matte painting""",Medium,Short,187044928,None,Off,50%,50%,None,None,None,None,No
ukG88a6BCpVmxIXvEqnP,Demonic Pikachu,ukG88a6BCpVmxIXvEqnP--1--pahr2.jpg,2023-01-25T17:22:47.171Z,none,dalle2,"weight: 1 ""Demonic Pikachu""",Medium,Short,3463213610,None,Off,50%,50%,None,None,None,None,No
Bvmg98vhfdT2zX3kYObP,"Demonic Pikachu a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately deta...",Bvmg98vhfdT2zX3kYObP--1--revzs.jpg,2023-01-25T17:23:17.558Z,none,dalle2,"weight: 1 ""Demonic Pikachu a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,1053183378,None,Off,50%,50%,None,None,None,None,No
mfqGEkBoK0ZcfWSIElmj,"Shadow of man a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detail...",mfqGEkBoK0ZcfWSIElmj--1--ierrk.jpg,2023-01-27T20:07:11.457Z,none,dalle2,"weight: 1 ""Shadow of man a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,2856402410,None,Off,50%,50%,None,None,None,None,No
S4RujkaclD4zogIltNAz,The shadow samurai,S4RujkaclD4zogIltNAz--1--oum7k.jpg,2023-01-27T20:08:24.564Z,none,dalle2,"weight: 1 ""The shadow samurai a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,2528049121,None,Off,50%,50%,None,None,None,None,No
eLTA5IJG39C19sFp9QUf,Meeting with the dark wizard,eLTA5IJG39C19sFp9QUf--1--zzzsp.jpg,2023-01-27T20:18:12.118Z,none,dalle2,"weight: 1 ""you speak my language a masterpiece, 8k resolution, dark fantasy concept art, by Greg Rutkowski, dynamic lighting, hyperdetailed, intricately detailed, Splash screen art, trending on Artstation, deep color, Unreal Engine, volumetric lighting, Alphonse Mucha, Jordan Grimmer, purple and yellow complementary colours""",Medium,Short,2078803517,None,Off,50%,50%,None,None,None,None,No
